競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	9	1	ロン　　　　　　　　　　　　　　　　	2.4	2	5	3	0.4407062495859778	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	2	デビットバローズ　　　　　　　　　　	16.1	6	1	7	0.4407018486929144	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	3	マテンロウスカイ　　　　　　　　　　	6.5	3	3	7	0.4407018486929144	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	4	エーティーソブリン　　　　　　　　　	52.8	7	9	10	0.4406249446327096	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	5	アトミカ　　　　　　　　　　　　　　	255.3	10	8	3	0.4407062495859778	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	6	ロワンディシー　　　　　　　　　　　	10.3	4	4	3	0.4407062495859778	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	7	ヒルノショパン　　　　　　　　　　　	117.9	9	7	7	0.4407018486929144	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	8	ジュンブロッサム　　　　　　　　　　	2.4	1	2	2	0.44078315665467643	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	9	カルタゴ　　　　　　　　　　　　　　	101.4	8	10	3	0.4407062495859778	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	9	10	サトノペルセウス　　　　　　　　　　	11.8	5	6	1	0.4411336741722059	2	4.4	6	8	1.1	1	3.0	2.3	3.0	2	8	17.2	2	8	2	3	3	8	6.1	9.7	3.1	2	8	46.8	23.9
阪神	2023	211	10	1	オンリーオピニオン　　　　　　　　　	50.1	11	11	9	0.4406249446327096	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	2	ゼッフィーロ　　　　　　　　　　　　	3.8	2	2	7	0.4407018486929144	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	3	ノースザワールド　　　　　　　　　　	2.3	1	5	9	0.4406249446327096	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	4	リューベック　　　　　　　　　　　　	4.4	3	1	7	0.4407018486929144	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	5	リノキアナ　　　　　　　　　　　　　	353.9	13	10	2	0.4407062495859778	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	6	グランディア　　　　　　　　　　　　	10.0	4	6	1	0.44078315665467643	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	7	イリマ　　　　　　　　　　　　　　　	33.9	7	8	2	0.4407062495859778	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	8	パーソナルハイ　　　　　　　　　　　	19.6	6	9	2	0.4407062495859778	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	9	アウスヴァール　　　　　　　　　　　	34.3	8	3	9	0.4406249446327096	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	10	アナゴサン　　　　　　　　　　　　　	14.6	5	7	2	0.4407062495859778	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	11	レヴェッツァ　　　　　　　　　　　　	44.2	9	4	9	0.4406249446327096	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	12	ギャラントウォリア　　　　　　　　　	45.6	10	12	2	0.4407062495859778	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	211	10	13	スペシャルドラマ　　　　　　　　　　	306.9	12	13	9	0.4406249446327096	4	2.1	3	2	1.8	2	9.0	7.4	8.0	2	4	9.6	2	4	4	9	2	9	4.4	18.4	18.9	4	2	17.6	112.2
阪神	2023	212	11	1	マテンロウレオ　　　　　　　　　　　	15.2	6	2	2	0.44078315665467643	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	2	ラストドラフト　　　　　　　　　　　	155.1	12	10	1	0.4411336741722059	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	3	ウインマイティー　　　　　　　　　　	17.1	7	6	3	0.4407062495859778	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	4	アフリカンゴールド　　　　　　　　　	111.2	10	9	9	0.4406249446327096	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	5	キングオブドラゴン　　　　　　　　　	31.7	9	4	3	0.4407062495859778	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	6	ユニコーンライオン　　　　　　　　　	13.1	5	7	9	0.4406249446327096	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	7	マイネルファンロン　　　　　　　　　	141.4	11	12	9	0.4406249446327096	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	8	プラダリア　　　　　　　　　　　　　	8.8	4	3	5	0.4407018486929144	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
阪神	2023	212	11	9	キラーアビリティ　　　　　　　　　　	6.8	3	5	5	0.4407018486929144	12	1.3	1	1	3.0	6	8.0	2.2	4.0	1	12	19.5	1	12	8	12	1	8	6.9	4.6	11.7	12	1	25.1	34.7
