競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	11	芝	2000	1	ドーブネ　　　　　　　　　　　　　　	3.8	2	2	2	0.5205650161886841	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	2	ヤマニンサルバム　　　　　　　　　　	6.5	3	3	2	0.5205650161886841	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	3	トゥーフェイス　　　　　　　　　　　	9.3	5	6	5	0.4949394689495652	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	4	カレンルシェルブル　　　　　　　　　	8.8	4	4	4	0.5171003289324019	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	5	ザイツィンガー　　　　　　　　　　　	214.5	9	8	6	0.4795924519591609	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	7	サリエラ　　　　　　　　　　　　　　	1.8	1	1	1	0.5214496562242447	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	8	サトノエルドール　　　　　　　　　　	86.9	8	5	8	0.468320196341243	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	9	ヒルノダカール　　　　　　　　　　　	72.5	7	9	9	0.4660749555514395	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	芝	2000	10	スーパーフェザー　　　　　　　　　　	289.9	10	7	7	0.4717230572837159	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	12	芝	1800	1	エクスインパクト　　　　　　　　　　	18.3	6	6	8	0.4816142494773119	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
