競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2025	201	11	芝	2000	01	トーセンリョウ　　　　　　　　　　　	2.9	1	8	1	0.5135251737939706	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	02	ホウオウノーサイド　　　　　　　　　	389.3	13	9	13	0.4660749555514395	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	03	ルージュリナージュ　　　　　　　　　	13.1	7	3	8	0.4798439804962471	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	04	グランドカリナン　　　　　　　　　　	9.3	6	4	2	0.5104747469024775	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	05	シュトラウス　　　　　　　　　　　　	5.5	2	1	10	0.47158076837787866	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	06	マイネルモーント　　　　　　　　　　	6.6	4	2	3	0.5026375301572444	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	07	ウンブライル　　　　　　　　　　　　	26.7	8	7	4	0.5020565166024261	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	08	グランスラムアスク　　　　　　　　　	71.5	12	10	12	0.4688645519290074	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	09	トゥデイイズザデイ　　　　　　　　　	7.8	5	11	5	0.4982030939727764	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	10	グリューネグリーン　　　　　　　　　	54.1	10	5	7	0.4804933179272078	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	11	シンリョクカ　　　　　　　　　　　　	6.3	3	6	6	0.49555829089985554	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	12	アドマイヤハレー　　　　　　　　　　	64.5	11	13	11	0.46935099254269086	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	11	芝	2000	13	レガトゥス　　　　　　　　　　　　　	43.6	9	12	8	0.4798439804962471	5	2.8	5	6	2.1	2	3.0	3.3	7.0	5	6	24.7	5	6	3	5	3	6	10.7	18.4	11.8	5	6	40.0	110.6
東京	2025	201	12	芝	1800	01	フォティーゾ　　　　　　　　　　　　	6.9	3	5	6	0.4940390116986319	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	02	ショウナンラピダス　　　　　　　　　	52.4	8	1	15	0.4671977753715473	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	03	レッドカメリア　　　　　　　　　　　	397.6	15	12	13	0.469788358874739	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	04	クラウドセイル　　　　　　　　　　　	73.1	10	6	10	0.4725713256297916	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	05	ミスティア　　　　　　　　　　　　　	20.5	6	7	7	0.4934437693343346	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	06	コスモエスメラルダ　　　　　　　　　	411.7	16	15	14	0.4676436420420698	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	07	レイククレセント　　　　　　　　　　	4.1	2	3	3	0.50364891326138	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	08	フォルラニーニ　　　　　　　　　　　	1.8	1	2	2	0.5103131198061347	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	09	アルヴィエンヌ　　　　　　　　　　　	201.7	13	14	11	0.4709793050679848	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	10	バードウォッチャー　　　　　　　　　	20.0	5	4	9	0.4741055412884541	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	11	アンバーホーク　　　　　　　　　　　	170.6	12	16	16	0.46643812214237795	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	12	ファイナルヒート　　　　　　　　　　	10.9	4	10	4	0.5022415240728957	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
東京	2025	201	12	芝	1800	13	マイネルフォルツァ　　　　　　　　　	65.5	9	8	5	0.49947547011567706	2	5.3	8	8	1.1	1	7.0	1.5	2.0	2	8	38.3	2	8	2	7	7	8	10.5	21.6	2.2	2	8	135.7	50.7
