競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	1	1	タガノアレハンドラ　　　　　　　　　	4.9	3	3	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	2	メメナビレラ　　　　　　　　　　　　	143.7	10	5	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	3	ポルコスピーノ　　　　　　　　　　　	31.8	6	11	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	4	エルーシア　　　　　　　　　　　　　	71.9	9	4	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	5	フローラサンライズ　　　　　　　　　	184.7	12	8	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	6	ビップピュアエース　　　　　　　　　	33.1	7	9	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	7	テイエムネイア　　　　　　　　　　　	56.6	8	10	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	8	モイル　　　　　　　　　　　　　　　	4.1	2	6	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	9	ナウズザタイム　　　　　　　　　　　	9.9	4	1	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	10	ウォータードラセナ　　　　　　　　　	29.4	5	7	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	11	エクレアジョーイ　　　　　　　　　　	152.9	11	12	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	1	12	グァルジャー　　　　　　　　　　　　	1.7	1	2	1	0.4993399817018601	9	2.0	4	12	1.1	1	1	1.3	3	9	12	8.7	9	12	1	9	1	12	3.2	4.8	1.8	9	12	27.8	9.8
阪神	2023	211	3	1	スナークドリアン　　　　　　　　　　	26.1	6	2	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	2	オペラミラクル　　　　　　　　　　　	37.9	7	10	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	3	メイショウヤッコ　　　　　　　　　　	123.9	9	8	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	4	フォルテカヴァロ　　　　　　　　　　	257.4	10	9	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	5	セレクティオ　　　　　　　　　　　　	4.5	3	3	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	6	ホームラン　　　　　　　　　　　　　	57.5	8	5	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	7	イエスウィズキャン　　　　　　　　　	4.9	4	1	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
阪神	2023	211	3	8	アンタッチャブル　　　　　　　　　　	3.2	2	7	1	0.4993399817018601	7	2.0	4	1	4.5	6	5	1.6	2	1	7	37.1	1	7	5	7	1	5	8.6	4.3	11.5	7	1	62.4	39.0
