競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	2	1	ヨウシタンレイ　　　　　　　　　　　	26.0	7	2	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	2	ウルトラワールド　　　　　　　　　　	98.0	11	10	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	3	パーペチュアル　　　　　　　　　　　	223.5	12	7	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	4	フスカル　　　　　　　　　　　　　　	8.4	4	3	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	5	ヴァンサンブル　　　　　　　　　　　	59.1	8	6	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	6	コパノモンテカルロ　　　　　　　　　	655.2	16	15	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	7	グランファラオ　　　　　　　　　　　	2.4	1	1	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	8	ミヅキ　　　　　　　　　　　　　　　	238.3	13	4	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	9	セントランサス　　　　　　　　　　　	59.3	10	9	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	10	ニホンピログリット　　　　　　　　　	284.5	14	14	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	11	ボタニカルガーデン　　　　　　　　　	6.5	3	5	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	12	メイショウバラッド　　　　　　　　　	9.1	5	13	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	13	アシャカデュラン　　　　　　　　　　	288.5	15	16	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	14	ハイインザスカイ　　　　　　　　　　	3.5	2	8	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	15	カタリナマリー　　　　　　　　　　　	17.6	6	11	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	2	16	メロパール　　　　　　　　　　　　　	59.2	9	12	1	0.3924160665114497	7	1.2	1	1	4.1	7	4	2.7	4	1	7	24.3	1	7	4	7	1	4	8.2	5.2	19.7	7	1	33.8	50.9
阪神	2023	211	4	1	ヘイスト　　　　　　　　　　　　　　	96.2	15	6	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	2	サクセスアイ　　　　　　　　　　　　	6.5	4	14	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	3	ミヤジレガリア　　　　　　　　　　　	62.5	13	3	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	4	セビーチェ　　　　　　　　　　　　　	35.4	10	11	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	5	ヴェリタス　　　　　　　　　　　　　	34.7	9	7	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	6	ブルクラシコ　　　　　　　　　　　　	25.0	8	4	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	7	ココラフィネ　　　　　　　　　　　　	7.8	5	13	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	8	コンクイスタ　　　　　　　　　　　　	3.6	1	2	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	9	ミッキーショック　　　　　　　　　　	41.5	11	12	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	10	タガノヴェント　　　　　　　　　　　	18.2	7	10	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	11	メイショウチェリー　　　　　　　　　	77.0	14	9	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	12	リリノエ　　　　　　　　　　　　　　	4.7	2	5	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	13	ドリーミーバローズ　　　　　　　　　	42.0	12	8	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	14	スマートアリア　　　　　　　　　　　	188.0	16	15	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	15	カレンハサウェイ　　　　　　　　　　	6.1	3	1	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	4	16	レイワノホシ　　　　　　　　　　　　	12.7	6	16	1	0.3924160665114497	15	2.0	3	8	1.5	1	3	9.9	13	8	15	12.0	8	15	3	15	3	8	4.7	51.1	30.1	15	8	27.8	257.1
阪神	2023	211	6	1	スマートハンター　　　　　　　　　　	28.4	9	7	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	2	トーホウキザン　　　　　　　　　　　	77.6	10	5	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	3	バールデュヴァン　　　　　　　　　　	3.3	2	6	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	4	エミサキホコル　　　　　　　　　　　	5.2	3	4	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	5	アドバンスファラオ　　　　　　　　　	8.4	4	9	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	6	ラックスアットゼア　　　　　　　　　	10.5	6	2	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	7	マルモリキング　　　　　　　　　　　	18.9	7	8	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	8	ドンアミティエ　　　　　　　　　　　	3.1	1	3	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	9	キョウエイゲイル　　　　　　　　　　	10.4	5	1	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	211	6	10	ダンテバローズ　　　　　　　　　　　	25.2	8	10	1	0.3924160665114497	9	2.2	4	6	2.8	6	8	1.6	2	6	9	93.6	6	9	8	9	6	8	23.5	6.3	9.3	9	6	187.3	107.5
阪神	2023	212	1	1	メイショウナナクサ　　　　　　　　　	58.5	8	10	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	2	アグニレディアンス　　　　　　　　　	18.4	6	3	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	3	ペイシャキネマ　　　　　　　　　　　	395.0	14	14	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	4	セイカベラトリクス　　　　　　　　　	578.3	15	13	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	5	エイシンフェンサー　　　　　　　　　	2.4	1	1	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	6	キミニオクル　　　　　　　　　　　　	108.1	9	7	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	7	グリューナブリッツ　　　　　　　　　	2.5	2	5	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
阪神	2023	212	1	8	スターペスカオリ　　　　　　　　　　	11.4	4	2	1	0.3924160665114497	5	1.4	2	8	2.3	4	2	4.4	7	5	8	12.6	5	8	2	5	2	8	5.5	10.3	29.0	5	8	17.8	87.3
