競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	7	1	テーオールノワール　　　　　　　　　	131.3	8	5	7	0.3864202630156965	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	7	2	ウインバリオス　　　　　　　　　　　	32.9	5	6	4	0.3929718082914609	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	7	3	パトリオットラン　　　　　　　　　　	3.3	2	1	2	0.39506190037326866	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	7	5	マルブツプライド　　　　　　　　　　	2.5	1	4	1	0.4133066740005558	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	7	6	エナハツホ　　　　　　　　　　　　　	4.7	4	3	2	0.39506190037326866	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	7	7	ダノンパルス　　　　　　　　　　　　	51.2	6	7	5	0.3887651299651307	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	7	8	インテンスフレイム　　　　　　　　　	3.6	3	2	5	0.3887651299651307	3	2.1	4	8	1.5	2	6.0	2.0	3.0	3	8	6.2	3	8	3	6	6	8	2.0	3.1	2.6	3	8	11.7	7.2
阪神	2023	211	12	1	ジューンアマデウス　　　　　　　　　	4.4	2	1	8	0.38893087396805864	1	1.5	2	7	1.1	1	5.0	3.0	7.0	1	7	3.5	1	7	1	5	5	7	1.9	9.5	5.7	1	7	10.2	16.7
阪神	2023	211	12	2	スナークレジスト　　　　　　　　　　	13.5	5	8	2	0.4169058995530363	1	1.5	2	7	1.1	1	5.0	3.0	7.0	1	7	3.5	1	7	1	5	5	7	1.9	9.5	5.7	1	7	10.2	16.7
阪神	2023	211	12	3	レイクリエイター　　　　　　　　　　	12.6	4	7	1	0.42976095604591075	1	1.5	2	7	1.1	1	5.0	3.0	7.0	1	7	3.5	1	7	1	5	5	7	1.9	9.5	5.7	1	7	10.2	16.7
