競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	8	1	アイヴォリーアイ　　　　　　　　　　	10.3	4	3	11	0.4353342805458646	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	2	ランスオブウェイブ　　　　　　　　　	106.0	10	12	11	0.4353342805458646	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	3	ビーストアタック　　　　　　　　　　	1.9	1	4	11	0.4353342805458646	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	4	ルシャリーブル　　　　　　　　　　　	8.7	3	2	10	0.43648997390882954	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	5	グルノイユジョーヌ　　　　　　　　　	302.1	14	14	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	6	エルメニア　　　　　　　　　　　　　	122.2	11	11	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	7	ニシノリース　　　　　　　　　　　　	22.2	8	7	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	8	テーオーアラジン　　　　　　　　　　	161.7	13	10	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	9	ナムラデイリリー　　　　　　　　　　	24.4	9	8	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	10	ニシノミズカゼ　　　　　　　　　　　	141.9	12	13	14	0.43372291766469767	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	11	グランデフィオーレ　　　　　　　　　	14.2	7	6	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	12	ルクスレガート　　　　　　　　　　　	6.2	2	9	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	13	フローレンスハニー　　　　　　　　　	11.0	5	5	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	211	8	14	タカラマドンナ　　　　　　　　　　　	13.3	6	1	1	0.4382474886298341	14	3.9	7	4	2.6	3	1	2.8	4	4	14	51.3	4	14	1	14	1	4	14.6	14.9	8.9	14	4	94.4	95.5
阪神	2023	212	7	1	ボニンブルー　　　　　　　　　　　　	277.5	16	11	11	0.4353342805458646	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	2	ブレーヴジャッカル　　　　　　　　　	30.6	13	8	11	0.4353342805458646	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	3	クアトロフォンテ　　　　　　　　　　	26.4	10	12	11	0.4353342805458646	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	4	マインジャラン　　　　　　　　　　　	19.8	9	15	11	0.4353342805458646	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	5	バルタザール　　　　　　　　　　　　	7.6	5	16	11	0.4353342805458646	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	6	オースミリン　　　　　　　　　　　　	19.8	8	5	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	7	カネトシブルーム　　　　　　　　　　	5.7	3	9	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	8	ミセスバローズ　　　　　　　　　　　	4.4	1	1	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	9	パープルグローリー　　　　　　　　　	103.6	14	7	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	10	バンベルク　　　　　　　　　　　　　	5.5	2	2	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	11	ボブズヤアンクル　　　　　　　　　　	6.3	4	3	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	12	パレドジュスティス　　　　　　　　　	156.9	15	10	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	13	オーガスタスカイ　　　　　　　　　　	26.9	11	14	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	14	マテンロウアイ　　　　　　　　　　　	14.1	6	4	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
阪神	2023	212	7	15	エイシンデュエラー　　　　　　　　　	19.4	7	13	1	0.4382474886298341	8	1.7	2	10	1.6	1	11	2.3	3	8	10	9.2	8	10	8	11	10	11	3.6	7.4	6.6	8	10	16.8	28.4
