競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	212	5	1	ガットネロ　　　　　　　　　　　　　	3.8	2	3	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	2	ナムララジベラ　　　　　　　　　　　	56.9	8	4	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	3	プロヴァーブ　　　　　　　　　　　　	41.9	7	5	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	4	マンデヴィラ　　　　　　　　　　　　	4.4	4	1	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	5	ソーダズリング　　　　　　　　　　　	3.4	1	2	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	6	デオヴォレンティ　　　　　　　　　　	258.6	9	7	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	7	テーオードリアン　　　　　　　　　　	290.9	10	10	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	8	ブラックフラミンゴ　　　　　　　　　	15.7	6	8	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	9	ノヴィアル　　　　　　　　　　　　　	9.3	5	9	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
阪神	2023	212	5	10	ハッピーアズラリー　　　　　　　　　	3.9	3	6	1	0.48529584210554266	4	1.4	3	5	1.3	2	1.0	1.4	4.0	4	5	8.5	4	5	1	4	1	5	3.1	3.3	2.6	4	5	19.5	9.7
