競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	5	1	バスキュラント　　　　　　　　　　　	178.5	13	7	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	2	エアサンジ　　　　　　　　　　　　　	19.8	7	6	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	4	ピュアブラック　　　　　　　　　　　	6.9	4	8	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	5	ルフレーヴ　　　　　　　　　　　　　	21.9	8	15	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	6	デイトナモード　　　　　　　　　　　	4.4	2	2	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	7	インセプション　　　　　　　　　　　	102.5	12	14	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	8	ニホンピロアリー　　　　　　　　　　	202.3	14	13	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	9	アイオブザストーム　　　　　　　　　	9.8	5	4	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	10	カフジキアッキエレ　　　　　　　　　	63.2	11	1	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
阪神	2023	211	5	11	カッティングジェム　　　　　　　　　	19.4	6	5	1	0.38407276055449735	10	10.1	11	6	1.8	2	15.0	1.3	1.0	6	10	127.0	6	10	10	15	6	15	33.1	21.9	2.4	10	6	382.4	98.9
