競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
阪神	2023	211	11	1	ヴィジュネル　　　　　　　　　　　　	31.4	8	10	1	0.4811129173719512	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	2	ジャスティンスカイ　　　　　　　　　	2.9	1	1	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	3	シャイニーロック　　　　　　　　　　	19.2	6	3	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	4	オニャンコポン　　　　　　　　　　　	5.9	4	6	2	0.48070795257036775	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	5	ゴールデンシロップ　　　　　　　　　	24.2	7	8	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	6	ピースオブエイト　　　　　　　　　　	4.5	3	5	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	7	ココロノトウダイ　　　　　　　　　　	35.2	9	2	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	8	フラーズダルム　　　　　　　　　　　	8.9	5	4	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	9	メイショウオーパス　　　　　　　　　	262.0	11	9	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	10	サウンドビバーチェ　　　　　　　　　	4.1	2	11	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	211	11	11	サヴァ　　　　　　　　　　　　　　　	88.0	10	7	3	0.4794852251063136	2	1.5	1	7	6.0	9	3	4.5	6	2	7	38.0	2	7	2	3	3	7	14.6	9.9	42.3	2	7	53.2	162.6
阪神	2023	212	9	1	ディオ　　　　　　　　　　　　　　　	1.7	1	1	1	0.4823359492861898	1	1.1	1	16	1.9	3	9	2.1	4	1	16	7.2	1	16	1	9	9	16	3.6	3.3	9.8	1	16	8.6	18.1
