競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	2	1	ボルネオ　　　　　　　　　　　　　　	12.4	3	1	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	2	アリクテラー　　　　　　　　　　　　	46.4	7	8	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	3	フルオーケストラ　　　　　　　　　　	105.5	11	7	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	4	ヒミノイチシロ　　　　　　　　　　　	14.2	4	4	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	5	ヴァレーニュ　　　　　　　　　　　　	197.5	12	11	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	6	チョウドイイ　　　　　　　　　　　　	22.3	6	12	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	7	タッチーフェイス　　　　　　　　　　	52.6	9	10	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	8	ダビディ　　　　　　　　　　　　　　	18.7	5	3	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	9	アヴァンタージュ　　　　　　　　　　	4.7	2	5	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	10	ファイナルソード　　　　　　　　　　	99.1	10	9	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	11	リリーブースター　　　　　　　　　　	51.8	8	6	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	422	2	12	サクセスハチハチ　　　　　　　　　　	1.4	1	2	1	0.4261135900053893	1	2.4	4	12	1.1	1	8	2.7	5	1	12	11.2	1	12	1	8	8	12	3.6	17.3	4.1	1	12	35.5	31.7
京都	2023	423	4	1	レッドマグナス　　　　　　　　　　　	49.8	7	10	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	2	バブルアップハート　　　　　　　　　	10.2	5	3	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	3	トリシューラ　　　　　　　　　　　　	477.2	12	8	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	4	プレイサーゴールド　　　　　　　　　	4.8	3	6	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	5	セイウンカノープス　　　　　　　　　	50.2	8	5	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	6	ルーヴェローチェ　　　　　　　　　　	90.5	10	13	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	7	イージスバローズ　　　　　　　　　　	6.3	4	4	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	8	ヒロピアーナ　　　　　　　　　　　　	460.1	11	7	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	9	ウインルベライト　　　　　　　　　　	46.8	6	11	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	10	ショーヘーフェイス　　　　　　　　　	2.8	1	1	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	11	ブレイヴアロウ　　　　　　　　　　　	52.0	9	9	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	12	メイショウクモイ　　　　　　　　　　	2.8	2	2	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	4	13	アデラパフューム　　　　　　　　　　	489.9	13	12	1	0.4261135900053893	10	1.2	2	12	1.1	1	2	1.9	5	10	12	3.5	10	12	2	10	2	12	1.8	3.0	3.8	10	12	6.9	7.2
京都	2023	423	6	1	バンドマスター　　　　　　　　　　　	3.9	2	3	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
京都	2023	423	6	2	サンライズパスカル　　　　　　　　　	22.2	5	7	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
京都	2023	423	6	3	ヤマニンウルス　　　　　　　　　　　	1.2	1	1	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
京都	2023	423	6	4	イエスウィズキャン　　　　　　　　　	66.2	7	4	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
京都	2023	423	6	5	ロードラディウス　　　　　　　　　　	18.5	3	5	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
京都	2023	423	6	6	マリアナトレンチ　　　　　　　　　　	19.5	4	2	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
京都	2023	423	6	7	ジョータルマエ　　　　　　　　　　　	72.7	9	8	1	0.4261135900053893	3	1.1	1	6	1.6	3	1	1.1	2	3	6	7.5	3	6	1	3	1	6	2.3	1.2	3.6	3	6	9.9	4.6
