競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	5	1	ヘンリー　　　　　　　　　　　　　　	4.5	2	1	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	2	ヨドノリリー　　　　　　　　　　　　	286.9	15	15	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	3	コパノバークレー　　　　　　　　　　	264.7	14	8	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	4	スズカコーズ　　　　　　　　　　　　	4.0	1	3	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	5	ストリンジェンド　　　　　　　　　　	56.0	10	7	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	6	シンゼンイズモ　　　　　　　　　　　	22.8	8	4	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	7	イリスレーン　　　　　　　　　　　　	74.8	12	16	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	8	セミマル　　　　　　　　　　　　　　	14.7	7	6	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	9	フォルティーナ　　　　　　　　　　　	334.0	16	13	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	10	ナムラミシェル　　　　　　　　　　　	59.7	11	14	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	11	スマートアンバー　　　　　　　　　　	28.0	9	10	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	12	エミサキホコル　　　　　　　　　　　	7.9	4	2	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	13	ゴッドブルービー　　　　　　　　　　	4.7	3	5	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	14	ゴルデールスカー　　　　　　　　　　	82.7	13	9	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	15	ルーカスミノル　　　　　　　　　　　	8.8	6	12	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
京都	2023	422	5	16	レゾルシオン　　　　　　　　　　　　	8.6	5	11	1	0.2061318489565406	1	1.6	1	12	2.1	5	4	1.6	2	1	12	23.3	1	12	1	4	4	12	8.6	4.1	5.5	1	12	42.1	26.5
