競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	8	1	ヴェールアップ　　　　　　　　　　　	5.3	3	5	2	0.493920401990245	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	2	フォレストキャット　　　　　　　　　	7.4	4	2	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	3	マテンロウルビー　　　　　　　　　　	53.5	9	7	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	4	セレッソ　　　　　　　　　　　　　　	2.7	1	1	1	0.49406823109911124	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	5	ネフェルタリ　　　　　　　　　　　　	25.9	7	13	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	6	ジェイエルエース　　　　　　　　　　	24.6	6	14	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	7	ビルボードクィーン　　　　　　　　　	86.7	10	11	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	8	スマートムーラン　　　　　　　　　　	7.9	5	9	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	9	サウザンドスマイル　　　　　　　　　	95.0	11	8	4	0.4936235251877228	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	10	アルムファーツリー　　　　　　　　　	220.7	13	6	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	11	ウインホノカ　　　　　　　　　　　　	572.6	14	12	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	12	プルモナリア　　　　　　　　　　　　	27.1	8	4	4	0.4936235251877228	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	13	ハギノメーテル　　　　　　　　　　　	110.2	12	10	6	0.4933398800737609	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	8	14	ウィシンクアスク　　　　　　　　　　	3.7	2	3	3	0.4937713521355798	4	1.3	1	2	2.0	5	14	1.4	2	2	4	11.7	2	4	4	14	2	14	4.2	2.5	5.3	4	2	17.8	11.5
京都	2023	422	10	1	クリノホノオ　　　　　　　　　　　　	144.8	14	5	11	0.4934107486072648	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	2	ポッドボレット　　　　　　　　　　　	11.4	4	10	9	0.4935658483150158	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	3	ダッチマン　　　　　　　　　　　　　	106.4	13	7	11	0.4934107486072648	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	4	ヒミノフラッシュ　　　　　　　　　　	17.9	8	2	4	0.4939912726089417	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	5	クロニクル　　　　　　　　　　　　　	3.1	1	3	1	0.494294207482746	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	6	セブンスレター　　　　　　　　　　　	13.0	6	8	1	0.494294207482746	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	7	シルバーエース　　　　　　　　　　　	16.2	7	6	10	0.493514252357632	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	8	サンライズシェリー　　　　　　　　　	24.4	9	9	7	0.4936943947639343	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	9	ワンダーエカルテ　　　　　　　　　　	335.6	16	12	11	0.4934107486072648	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	10	ジロー　　　　　　　　　　　　　　　	54.0	11	11	4	0.4939912726089417	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	11	ヴィジョンオブラヴ　　　　　　　　　	31.7	10	1	7	0.4936943947639343	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
京都	2023	422	10	12	アノ　　　　　　　　　　　　　　　　	98.6	12	15	11	0.4934107486072648	11	5.0	10	4	3.9	7	5	1.7	1	4	11	198.9	4	11	5	11	4	5	40.4	13.0	8.6	11	4	463.6	163.8
