競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	1	1	ソルトエース　　　　　　　　　　　　	189.0	11	16	3	0.3942599074423122	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	2	コパノサントス　　　　　　　　　　　	5.8	3	6	4	0.3941705350949006	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	3	タイガーミノル　　　　　　　　　　　	167.9	10	12	18	0.3686546386721681	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	4	オンリーラヴ　　　　　　　　　　　　	330.7	16	13	17	0.3708055134334605	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	5	マテンロウジョイ　　　　　　　　　　	5.7	2	5	5	0.3933287689139851	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	6	ウィズユアドリーム　　　　　　　　　	19.0	7	1	1	0.40200533271176186	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	7	スイープアワーズ　　　　　　　　　　	2.3	1	3	12	0.3854935573617557	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	8	アーテルナイト　　　　　　　　　　　	7.7	5	2	10	0.3902794569653081	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	9	マックロスキー　　　　　　　　　　　	43.0	9	9	11	0.3885048453987247	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
京都	2023	422	1	10	シゲルマティアス　　　　　　　　　　	419.6	17	14	6	0.3931419281683141	6	3.2	7	8	1.8	3	7	1.4	1	6	8	45.1	6	8	6	7	7	8	12.1	9.4	3.7	6	8	132.2	35.2
