競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	3	1	スイープラン　　　　　　　　　　　　	7.1	3	1	1	0.3750291785243836	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	2	トーホウビエント　　　　　　　　　　	19.5	6	11	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	3	キミニオクル　　　　　　　　　　　　	316.0	14	16	8	0.35276787915512575	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	4	スマートメイプル　　　　　　　　　　	4.8	2	3	1	0.3750291785243836	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	5	ファニーボーイ　　　　　　　　　　　	115.4	9	8	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	6	ミランダ　　　　　　　　　　　　　　	47.8	8	18	9	0.35265924967231127	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	7	ナリタシン　　　　　　　　　　　　　	26.0	7	4	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	8	クリノイシン　　　　　　　　　　　　	359.5	15	13	4	0.35944863283305284	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	9	ダンツフロンテ　　　　　　　　　　　	440.9	17	14	4	0.35944863283305284	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	10	テイケイヴィエント　　　　　　　　　	403.6	16	9	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	11	ヴァルダリス　　　　　　　　　　　　	11.8	4	6	17	0.3421659421653382	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	12	シェーヌダンクル　　　　　　　　　　	649.1	18	17	18	0.3382904503395532	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	13	サンポーニャ　　　　　　　　　　　　	17.6	5	2	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	14	マロンアルジャン　　　　　　　　　　	240.7	12	10	4	0.35944863283305284	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	15	マテンロウナイト　　　　　　　　　　	214.0	11	5	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	16	プライムトゥーレ　　　　　　　　　　	264.8	13	12	10	0.3461978925871858	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	17	ファイブレイナ　　　　　　　　　　　	178.6	10	15	7	0.3561633853186688	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
京都	2023	422	3	18	ベルビューポイント　　　　　　　　　	1.6	1	7	1	0.3750291785243836	1	3.9	3	13	8.7	6	4	3.5	2	1	13	57.0	1	13	1	4	4	13	14.3	4.9	9.0	1	13	101.5	64.2
