競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	6	1	レオンバローズ　　　　　　　　　　　	12.7	4	2	3	0.4103510440743722	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	2	コスモミローディア　　　　　　　　　	106.2	10	10	3	0.4103510440743722	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	3	サンクフィーユ　　　　　　　　　　　	1.6	1	3	3	0.4103510440743722	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	4	アパショナード　　　　　　　　　　　	19.5	5	5	6	0.4103453329484672	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	5	ゲヴィナー　　　　　　　　　　　　　	7.4	3	1	6	0.4103453329484672	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	6	レディーシス　　　　　　　　　　　　	70.4	8	11	6	0.4103453329484672	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	7	メイショウケンコン　　　　　　　　　	92.0	9	8	6	0.4103453329484672	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	8	ハルカナネガイ　　　　　　　　　　　	198.1	11	9	1	0.4105701790989246	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	9	レッドベルアーム　　　　　　　　　　	3.7	2	4	6	0.4103453329484672	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	10	セイバートゥース　　　　　　　　　　	48.6	7	6	6	0.4103453329484672	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	11	クリノビビ　　　　　　　　　　　　　	551.0	12	12	12	0.40968917390760684	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	422	6	12	ニホンピロマリブ　　　　　　　　　　	22.5	6	7	2	0.4103973756753316	5	2.2	4	1	2.1	3	3.0	1.1	1.0	1	5	49.6	1	5	3	5	1	3	11.0	3.4	4.0	5	1	94.6	18.7
京都	2023	423	9	1	ゲーテローズ　　　　　　　　　　　　	5.1	2	4	2	0.4103510440743722	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	2	ダノンターキッシュ　　　　　　　　　	6.3	3	6	2	0.4103510440743722	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	3	ジェンヌ　　　　　　　　　　　　　　	6.6	4	2	4	0.4103453329484672	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	4	ピノクル　　　　　　　　　　　　　　	34.2	8	7	4	0.4103453329484672	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	5	ブルーゲート　　　　　　　　　　　　	30.4	7	8	4	0.4103453329484672	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	6	リアド　　　　　　　　　　　　　　　	1.9	1	5	4	0.4103453329484672	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	7	マイネルステレール　　　　　　　　　	224.7	10	10	1	0.4105701790989246	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	8	キボウノダイチ　　　　　　　　　　　	124.0	9	9	4	0.4103453329484672	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	9	サジェス　　　　　　　　　　　　　　	8.6	5	1	9	0.41024124239523596	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	9	10	イヤサカ　　　　　　　　　　　　　　	27.4	6	3	10	0.4098990996977563	9	2.4	5	3	2.1	3	10.0	6.5	8.0	3	9	28.3	3	9	9	10	3	10	8.0	20.9	23.4	9	3	61.3	201.5
京都	2023	423	10	1	メイケイハリアー　　　　　　　　　　	70.9	11	9	1	0.4103510440743722	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
京都	2023	423	10	2	ローゼライト　　　　　　　　　　　　	5.5	2	5	1	0.4103510440743722	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
京都	2023	423	10	3	シルヴェリオ　　　　　　　　　　　　	6.2	3	4	1	0.4103510440743722	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
京都	2023	423	10	4	エターナルヴィテス　　　　　　　　　	192.1	14	14	4	0.4103453329484672	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
京都	2023	423	10	5	ニホンピロタイズ　　　　　　　　　　	30.0	10	10	4	0.4103453329484672	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
京都	2023	423	10	6	ドンアルゴス　　　　　　　　　　　　	136.9	13	11	4	0.4103453329484672	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
京都	2023	423	10	7	エンペザー　　　　　　　　　　　　　	3.9	1	1	4	0.4103453329484672	7	1.7	1	11	4.3	9	12.0	2.9	7.0	7	11	25.7	7	11	7	12	11	12	10.5	7.5	20.9	7	11	41.9	98.5
