競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
京都	2023	422	12	1	ムーンリットナイト　　　　　　　　　	6.3	3	6	3	0.490862894645668	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	2	ヒルノショパン　　　　　　　　　　　	50.0	9	7	6	0.4901672168616983	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	3	ジャッカル　　　　　　　　　　　　　	54.2	10	9	1	0.49128444434488966	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	4	アスクコンナモンダ　　　　　　　　　	2.0	1	1	4	0.49061567633724745	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	5	メイショウベッピン　　　　　　　　　	11.8	4	3	9	0.48911873512644904	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	6	アルママ　　　　　　　　　　　　　　	20.6	6	11	8	0.4894834095226454	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	7	シティレインボー　　　　　　　　　　	20.3	5	5	5	0.4905559052893308	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	8	パンドレア　　　　　　　　　　　　　	29.4	8	8	6	0.4901672168616983	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	9	テーオーアマゾン　　　　　　　　　　	23.1	7	10	10	0.4885707155005766	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	10	ディオ　　　　　　　　　　　　　　　	3.4	2	2	2	0.490969329543329	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	422	12	11	メイショウカクウン　　　　　　　　　	129.9	11	4	11	0.4882341929468516	4	1.1	1	10	1.2	2	5	1.9	4	4	10	2.8	4	10	4	5	5	10	1.6	3.7	4.6	4	10	4.7	9.0
京都	2023	423	7	1	トラーパニ　　　　　　　　　　　　　	182.0	17	13	6	0.4911213946765985	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	2	キタサンシュガー　　　　　　　　　　	14.0	7	12	18	0.4894324060835763	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	3	アンジェリーナ　　　　　　　　　　　	7.0	4	10	11	0.4901672168616983	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	4	ユイ　　　　　　　　　　　　　　　　	143.4	16	14	11	0.4901672168616983	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	5	サトノキリンジ　　　　　　　　　　　	129.7	15	16	1	0.4914417125643021	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	6	エクロール　　　　　　　　　　　　　	53.7	12	9	6	0.4911213946765985	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	7	バルタザール　　　　　　　　　　　　	14.3	8	4	11	0.4901672168616983	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	8	ダイシンビヨンド　　　　　　　　　　	5.9	3	6	11	0.4901672168616983	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	9	コーリングユー　　　　　　　　　　　	7.3	5	2	9	0.4908360600414817	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	10	デヴィルズマーブル　　　　　　　　　	16.2	9	7	11	0.4901672168616983	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
京都	2023	423	7	11	パタゴニア　　　　　　　　　　　　　	9.6	6	11	17	0.48951164499380756	17	2.3	2	9	2.4	3	15	26.7	14	9	17	28.5	9	17	15	17	9	15	9.4	87.1	125.3	17	9	52.7	910.5
