競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	129	2	1	ジグラート　　　　　　　　　　　　　	37.6	7	14	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	2	ビッグアメリカン　　　　　　　　　　	482.3	16	15	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	3	マイネルボンバー　　　　　　　　　　	121.9	11	16	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	4	ウィズフィリップ　　　　　　　　　　	22.5	5	6	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	5	メイテソーロ　　　　　　　　　　　　	4.0	2	1	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	6	バンクサイド　　　　　　　　　　　　	44.4	8	4	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	7	モーメントキャッチ　　　　　　　　　	2.1	1	2	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	8	グレイソニック　　　　　　　　　　　	399.6	15	9	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	9	パープルアドミラル　　　　　　　　　	84.7	10	13	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	10	ビップスコーピオン　　　　　　　　　	7.1	4	3	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	11	バトルエンジェル　　　　　　　　　　	185.9	13	10	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	12	プロテア　　　　　　　　　　　　　　	46.6	9	12	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	13	ニシノファンフェア　　　　　　　　　	4.7	3	5	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	14	ヴァークスティ　　　　　　　　　　　	179.2	12	11	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	15	セントアイヴス　　　　　　　　　　　	37.2	6	7	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	129	2	16	シグナルファイアー　　　　　　　　　	328.7	14	8	1	0.4960875747585719	5	1.2	2	7	1.1	1	10	1.4	3	5	7	3.5	5	7	5	10	7	10	1.8	5.1	2.6	5	7	8.3	8.7
東京	2023	205	2	1	ブルーステラ　　　　　　　　　　　　	80.0	12	9	1	0.4960875747585719	9	2.0	4	4	1.6	2	3	1.7	3	4	9	15.4	4	9	3	9	3	4	6.4	5.2	3.4	9	4	25.1	17.2
東京	2023	205	2	2	ウインクリエ　　　　　　　　　　　　	102.7	14	8	1	0.4960875747585719	9	2.0	4	4	1.6	2	3	1.7	3	4	9	15.4	4	9	3	9	3	4	6.4	5.2	3.4	9	4	25.1	17.2
東京	2023	205	2	3	タイキラフター　　　　　　　　　　　	3.8	2	3	1	0.4960875747585719	9	2.0	4	4	1.6	2	3	1.7	3	4	9	15.4	4	9	3	9	3	4	6.4	5.2	3.4	9	4	25.1	17.2
東京	2023	205	2	4	ナムラテディー　　　　　　　　　　　	4.6	3	2	1	0.4960875747585719	9	2.0	4	4	1.6	2	3	1.7	3	4	9	15.4	4	9	3	9	3	4	6.4	5.2	3.4	9	4	25.1	17.2
東京	2023	205	2	5	スマッシュキング　　　　　　　　　　	87.8	13	15	1	0.4960875747585719	9	2.0	4	4	1.6	2	3	1.7	3	4	9	15.4	4	9	3	9	3	4	6.4	5.2	3.4	9	4	25.1	17.2
