競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	1	1	ニューカラー　　　　　　　　　　　　	300.2	16	16	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	2	スウィフトアロー　　　　　　　　　　	175.1	13	15	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	3	オールマキシマム　　　　　　　　　　	5.8	2	5	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	4	フジジュンフェイス　　　　　　　　　	108.1	11	8	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	5	ラテラリス　　　　　　　　　　　　　	180.3	14	12	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	6	カノンチャン　　　　　　　　　　　　	134.4	12	10	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	7	テイエムガーネット　　　　　　　　　	22.6	6	9	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	8	スピリチュアル　　　　　　　　　　　	25.7	7	6	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	9	アンジュール　　　　　　　　　　　　	92.7	10	3	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	10	レディアス　　　　　　　　　　　　　	6.0	3	2	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	11	マラマプア　　　　　　　　　　　　　	15.2	5	7	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	12	クレッシェンド　　　　　　　　　　　	44.1	9	11	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	13	マルティネーテ　　　　　　　　　　　	229.1	15	14	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
東京	2023	128	1	14	メイデンタワー　　　　　　　　　　　	1.6	1	1	1	0.4983126046256503	14	1.1	1	10	1.7	3	9	8.9	10	10	14	5.2	10	14	9	14	9	10	2.7	18.2	41.2	14	10	7.1	74.9
