競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2024	127	8	ダート	2100	1	マンノステータス　　　　　　　　　　	14.0	7	4	1	0.5036707339961073	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	2	インペラートル　　　　　　　　　　　	170.9	14	10	5	0.3976791697875614	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	3	トクシースタローン　　　　　　　　　	10.5	6	5	2	0.4883261035314603	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	4	メイククラウドロア　　　　　　　　　	359.2	15	14	8	0.383678098154907	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	5	ケリーズノベル　　　　　　　　　　　	8.0	4	15	6	0.3890634809304491	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	6	オソルノ　　　　　　　　　　　　　　	7.9	3	3	12	0.3718962882583675	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	7	ソムリエ　　　　　　　　　　　　　　	32.6	9	12	13	0.36694566027407377	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	8	フミヤングフェイス　　　　　　　　　	19.7	8	7	10	0.37282239083912655	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	9	スタボーンイメル　　　　　　　　　　	131.6	12	11	10	0.37282239083912655	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	10	キタサンドーシン　　　　　　　　　　	4.8	2	1	7	0.3868889893903743	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	11	アイアムイチリュウ　　　　　　　　　	36.2	10	8	3	0.4778248239734568	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	13	アコークロー　　　　　　　　　　　　	2.7	1	2	9	0.3762087019666437	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	14	サトミノマロン　　　　　　　　　　　	8.2	5	6	4	0.46528447474034396	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	15	ルーパステソーロ　　　　　　　　　　	139.2	13	13	15	0.35973070386523903	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	127	8	ダート	2100	16	コロンビアテソーロ　　　　　　　　　	103.4	11	9	14	0.36439859927017143	10	1.6	2	13	1.3	1	6	2.2	5	10	13	7.2	10	13	6	10	6	13	3.1	10.5	8.0	10	13	14.8	30.2
東京	2024	128	4	ダート	2100	1	ガレストロ　　　　　　　　　　　　　	31.7	8	14	8	0.3794336495914884	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	2	シゲルカミカゼ　　　　　　　　　　　	13.0	5	2	13	0.37096979052250817	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	3	ピュアグルーヴ　　　　　　　　　　　	10.1	4	3	10	0.37301537758535014	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	4	ブローヴェイス　　　　　　　　　　　	386.0	13	11	6	0.39497142828101844	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	5	ショウナンガロ　　　　　　　　　　　	39.8	9	10	11	0.3718962882583675	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	6	ベストポイント　　　　　　　　　　　	1.7	1	5	11	0.3718962882583675	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	7	トーセンクライスト　　　　　　　　　	5.3	2	1	2	0.4672115036266147	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
東京	2024	128	4	ダート	2100	8	リネンマンボ　　　　　　　　　　　　	449.2	14	7	7	0.3860980335238948	7	2.1	2	2	3.9	5	3	2.7	3	2	7	39.2	2	7	3	7	2	3	10.7	6.6	12.8	7	2	86.3	75.5
