競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	7	ダート	1400	1	アーレンダール　　　　　　　　　　　	5.0	3	5	10	0.49525260235112184	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	2	クリノハニー　　　　　　　　　　　　	495.5	16	16	14	0.4908931047264403	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	3	デュアルキャリアー　　　　　　　　　	10.2	5	13	7	0.49771131579213523	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	4	キャプテンローレル　　　　　　　　　	14.6	6	7	4	0.49860602411642835	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	5	ムーヴ　　　　　　　　　　　　　　　	7.9	4	6	2	0.5040802700025923	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	6	レッドレジェーラ　　　　　　　　　　	153.0	13	10	13	0.4910745759206569	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	7	リゼレインボー　　　　　　　　　　　	75.5	11	12	11	0.4926984844120173	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	8	マロリン　　　　　　　　　　　　　　	351.7	15	14	15	0.49062019351146546	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	9	マリノプリエール　　　　　　　　　　	169.9	14	15	15	0.49062019351146546	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
東京	2023	128	7	ダート	1400	10	レイデルマール　　　　　　　　　　　	22.7	7	2	12	0.4915832940757188	16	1.3	1	10	3.7	7	13	1.8	2	10	16	26.3	10	16	13	16	10	13	8.1	3.1	15.0	16	10	39.7	42.3
