競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	5	1	トップガン　　　　　　　　　　　　　	276.8	14	15	9	0.4354463895399786	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	2	ブルーハートリリー　　　　　　　　　	24.7	7	12	9	0.4354463895399786	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	3	クインズカムイ　　　　　　　　　　　	36.6	9	2	9	0.4354463895399786	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	4	コントラポスト　　　　　　　　　　　	4.8	2	4	2	0.4482662113697713	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	5	フジリョウエイ　　　　　　　　　　　	72.3	11	9	5	0.4377706307087746	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	6	ウイニングライブ　　　　　　　　　　	278.8	15	10	5	0.4377706307087746	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	7	オーヴァルブルーム　　　　　　　　　	10.2	3	3	3	0.4420903700796791	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	8	ダット　　　　　　　　　　　　　　　	35.8	8	5	13	0.42696058337765125	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	9	フェスティヴチャン　　　　　　　　　	426.5	16	14	15	0.4203603203076374	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	11	アスコルティアーモ　　　　　　　　　	1.6	1	1	5	0.4377706307087746	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	12	ラスブリサス　　　　　　　　　　　　	13.8	5	8	1	0.44989912739475135	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	13	ハイファイヴ　　　　　　　　　　　　	54.6	10	6	12	0.4317557856812992	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	14	リュクススティール　　　　　　　　　	12.5	4	11	14	0.4230589324913667	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	15	マスターパペット　　　　　　　　　　	246.0	12	13	5	0.4377706307087746	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	128	5	16	ステラデルシエロ　　　　　　　　　　	21.1	6	7	3	0.4420903700796791	11	1.1	1	3	5.0	9	7.0	1.9	3.0	3	11	28.8	3	11	7	11	3	7	9.1	3.4	30.9	11	3	35.5	58.8
東京	2023	129	6	1	エキゾチックアイズ　　　　　　　　　	147.8	11	9	15	0.42840343464742303	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
東京	2023	129	6	2	トレジャートリップ　　　　　　　　　	83.0	9	10	15	0.42840343464742303	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
東京	2023	129	6	3	ウイングランブルー　　　　　　　　　	26.3	6	5	9	0.4354463895399786	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
東京	2023	129	6	4	パールロード　　　　　　　　　　　　	2.2	1	2	1	0.4453265722038678	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
東京	2023	129	6	5	ロードデルレイ　　　　　　　　　　　	4.3	2	1	3	0.4377706307087746	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
東京	2023	129	6	6	サクセスベージュ　　　　　　　　　　	40.4	8	8	3	0.4377706307087746	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
東京	2023	129	6	7	サクラトップハーツ　　　　　　　　　	104.9	10	15	13	0.4290198203560263	5	1.3	2	4	1.2	1	10.0	1.4	3.0	4	5	4.5	4	5	5	10	4	10	2.0	3.0	2.7	5	4	10.4	7.6
