競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	6	1	クリノキスミント　　　　　　　　　　	246.1	16	13	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	2	スッピン　　　　　　　　　　　　　　	27.8	7	16	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	3	スキップアビート　　　　　　　　　　	177.0	14	11	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	4	ランプシー　　　　　　　　　　　　　	15.8	5	1	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	5	テンペスト　　　　　　　　　　　　　	1.6	1	2	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	6	バレーオブファイア　　　　　　　　　	122.0	12	8	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	7	タニセンレラ　　　　　　　　　　　　	201.7	15	15	12	0.4841473535683768	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	8	ビーチポジティヴ　　　　　　　　　　	25.2	6	6	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	9	ヒーユリユー　　　　　　　　　　　　	130.7	13	10	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	10	サヴァリア　　　　　　　　　　　　　	7.4	3	7	12	0.4841473535683768	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	11	ムンドエルモソ　　　　　　　　　　　	5.6	2	3	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	12	インセプション　　　　　　　　　　　	33.3	8	12	12	0.4841473535683768	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	13	キタノブライド　　　　　　　　　　　	10.2	4	4	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	14	ニシノリーデル　　　　　　　　　　　	58.0	9	5	1	0.4846165129149329	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	15	モンセラット　　　　　　　　　　　　	80.9	10	9	12	0.4841473535683768	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	6	16	ニシノメサイア　　　　　　　　　　　	92.3	11	14	12	0.4841473535683768	4	2.6	5	5	1.1	1	11	1.6	2	4	5	11.0	4	5	4	11	5	11	4.1	10.6	2.4	4	5	39.0	18.3
東京	2023	128	10	1	ニシノピウモッソ　　　　　　　　　　	4.3	4	6	4	0.4846165129149329	6	1.5	2	7	3.2	6	8	1.7	4	6	7	25.7	6	7	6	8	7	8	8.0	3.4	10.8	6	7	44.5	33.9
東京	2023	128	10	2	ロードディフィート　　　　　　　　　	13.4	5	4	4	0.4846165129149329	6	1.5	2	7	3.2	6	8	1.7	4	6	7	25.7	6	7	6	8	7	8	8.0	3.4	10.8	6	7	44.5	33.9
東京	2023	128	10	3	クールムーア　　　　　　　　　　　　	29.3	7	8	7	0.484342415609487	6	1.5	2	7	3.2	6	8	1.7	4	6	7	25.7	6	7	6	8	7	8	8.0	3.4	10.8	6	7	44.5	33.9
東京	2023	128	10	4	レイフォール　　　　　　　　　　　　	128.4	10	7	2	0.4851047894482394	6	1.5	2	7	3.2	6	8	1.7	4	6	7	25.7	6	7	6	8	7	8	8.0	3.4	10.8	6	7	44.5	33.9
東京	2023	128	10	5	ブルーイングリーン　　　　　　　　　	100.8	9	9	10	0.48387327248655176	6	1.5	2	7	3.2	6	8	1.7	4	6	7	25.7	6	7	6	8	7	8	8.0	3.4	10.8	6	7	44.5	33.9
東京	2023	128	10	6	ヤクシマ　　　　　　　　　　　　　　	4.0	3	1	1	0.48680262854215933	6	1.5	2	7	3.2	6	8	1.7	4	6	7	25.7	6	7	6	8	7	8	8.0	3.4	10.8	6	7	44.5	33.9
