競馬場	開催年	開催日	レース番号	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	11	1	ドーブネ　　　　　　　　　　　　　　	3.8	2	2	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	2	ヤマニンサルバム　　　　　　　　　　	6.5	3	3	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	3	トゥーフェイス　　　　　　　　　　　	9.3	5	6	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	4	カレンルシェルブル　　　　　　　　　	8.8	4	4	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	5	ザイツィンガー　　　　　　　　　　　	214.5	9	8	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	7	サリエラ　　　　　　　　　　　　　　	1.8	1	1	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	8	サトノエルドール　　　　　　　　　　	86.9	8	5	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	9	ヒルノダカール　　　　　　　　　　　	72.5	7	9	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	11	10	スーパーフェザー　　　　　　　　　　	289.9	10	7	1	0.47792696618774816	7	1.1	1	1	1.3	2	2.0	1.5	3.0	1	7	3.9	1	7	2	7	1	2	1.8	2.3	3.2	7	1	6.0	6.2
東京	2023	128	12	1	エクスインパクト　　　　　　　　　　	18.3	6	6	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	2	セイウンゴールド　　　　　　　　　　	138.6	12	13	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	3	シュガービート　　　　　　　　　　　	280.4	13	11	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	4	タミオスター　　　　　　　　　　　　	7.0	3	7	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	5	マイネルニコラス　　　　　　　　　　	8.1	5	1	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	6	テイエムオードリー　　　　　　　　　	134.4	11	12	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	7	ダイバリオン　　　　　　　　　　　　	2.8	1	2	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	8	ナンヨーアゼリア　　　　　　　　　　	7.1	4	3	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	9	ヴィブラツィオーネ　　　　　　　　　	32.5	9	4	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	10	マリネロ　　　　　　　　　　　　　　	3.6	2	10	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	11	テラフォーミング　　　　　　　　　　	26.4	8	9	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	12	ローブエリタージュ　　　　　　　　　	19.1	7	5	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	128	12	13	ダンディジャック　　　　　　　　　　	34.5	10	8	1	0.47792696618774816	5	2.0	4	7	1.4	1	8.0	1.9	3.0	5	7	8.2	5	7	5	8	7	8	3.2	7.7	3.9	5	7	25.2	18.2
東京	2023	129	12	1	ナックイルシーブ　　　　　　　　　　	93.5	7	8	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	2	アトラクティーボ　　　　　　　　　　	99.8	8	10	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	3	エクセレントラン　　　　　　　　　　	137.2	10	11	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	4	サウンドウォリアー　　　　　　　　　	5.0	3	1	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	5	セラフィナイト　　　　　　　　　　　	5.8	4	6	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	6	タケルジャック　　　　　　　　　　　	130.0	9	9	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	7	ボーンディスウェイ　　　　　　　　　	3.0	2	3	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	8	ミズリーナ　　　　　　　　　　　　　	139.7	11	4	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	9	キャルレイ　　　　　　　　　　　　　	7.2	5	5	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	10	マイネルクリソーラ　　　　　　　　　	2.9	1	2	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	11	ポッドヴァイン　　　　　　　　　　　	33.9	6	7	1	0.47792696618774816	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	204	11	1	エドノフェリーチェ　　　　　　　　　	12.3	4	11	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	2	チャックネイト　　　　　　　　　　　	4.6	2	3	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	3	アイブランコ　　　　　　　　　　　　	213.2	11	7	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	4	ファユエン　　　　　　　　　　　　　	24.6	7	6	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	5	シルキーヴォイス　　　　　　　　　　	30.2	8	9	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	6	サンストックトン　　　　　　　　　　	1.7	1	8	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	7	メガゴールド　　　　　　　　　　　　	89.2	9	12	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	8	ククナ　　　　　　　　　　　　　　　	5.2	3	1	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	9	フィリオアレグロ　　　　　　　　　　	19.7	5	5	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	10	アケルナルスター　　　　　　　　　　	24.0	6	4	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	11	サペラヴィ　　　　　　　　　　　　　	234.8	12	2	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	12	マイネルコロンブス　　　　　　　　　	130.8	10	10	1	0.47792696618774816	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	205	8	1	インナリオ　　　　　　　　　　　　　	59.1	8	6	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	2	オウケンロジータ　　　　　　　　　　	209.6	9	8	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	3	ルージュリナージュ　　　　　　　　　	1.9	1	1	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	4	アラビアンナイト　　　　　　　　　　	15.1	5	5	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	5	テーオーアリエス　　　　　　　　　　	41.4	7	10	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	6	エコルフリューゲル　　　　　　　　　	15.1	6	7	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	7	グレースオブナイル　　　　　　　　　	362.5	10	9	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	8	ロマンシングブルー　　　　　　　　　	3.6	2	2	1	0.47792696618774816	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
