競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	129	10	芝	1600	1	ルーカス　　　　　　　　　　　　　　	67.2	8	2	11	0.4909925275282335	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	2	アオイシンゴ　　　　　　　　　　　　	32.9	7	3	4	0.5053101637885596	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	3	ベジャール　　　　　　　　　　　　　	12.1	4	7	9	0.4941488275306855	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	4	レッドモンレーヴ　　　　　　　　　　	2.0	1	1	1	0.5176655113312421	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	5	ダンテスヴュー　　　　　　　　　　　	5.7	3	8	7	0.5038356606950184	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	6	リーガルバトル　　　　　　　　　　　	171.8	11	9	8	0.5010051687447532	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	7	アヴェラーレ　　　　　　　　　　　　	3.3	2	4	2	0.5132995641897076	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	8	ソウルトレイン　　　　　　　　　　　	17.1	6	5	3	0.5058582973911422	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	9	オーバーディリバー　　　　　　　　　	76.3	9	10	5	0.5046798771372594	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	10	パーソナルハイ　　　　　　　　　　　	14.0	5	6	12	0.47581993095410285	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
